Model, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
SwimmingPool-2, 18.9237863333333, 34.1401343333333, 16.4778346666667, 10.8357293333333, 7.415988, 35.0413872, 5.1073998, 2.9137792
SwimmingPool-3, 95.5949346666667, 191.853955, 85.4363413333333, 52.8197546666667, 35.461229, 277.09318, 41.6332388, 23.3186968
SwimmingPool-4, 407.172666, 814.076140333333, 345.231667666667, 205.274407, 132.450536, 1591.1947272, 234.0817068, 128.6704288
SwimmingPool-5, -, 2516.118503, 1110.05842333333, 581.174280333333, 364.887596666667, -, 941.2476942, 512.914184
SwimmingPool-6, -, -, 2542.04370266667, 1432.781855, 868.604991, -, 3189.0804452, 1742.6516852
SwimmingPool-7, -, -, -, 3393.1645335, 2563.813433, -, -, -
SwimmingPool-8, -, -, -, -, -, -, -, -
TokenRing-10-unfolded, 4.64227333333333, 7.11697766666667, 5.42320066666667, 5.38168266666667, 5.79087433333333, 5.3477654, 0.7623334, 0.4239292
TokenRing-15-unfolded, 29.7349306666667, 71.0404376666667, 48.03649, 41.9197033333333, 44.2433046666667, 76.484112, 11.1182342, 6.3980792
TokenRing-20-unfolded, -, -, 1168.72403733333, 820.112709, 614.0557635, -, -, 2810.64165033333
TokenRing-5-unfolded, 0.100452, 0.17597, 0.228006666666667, 0.251246, 0.277770333333333, 0.0443098, 0.0106014, 0.0111644
unf-8x8-4stageSEN-01, 4.20288833333333, 6.273831, 3.57740033333333, 2.90881833333333, 2.67039833333333, 7.9433366, 1.074288, 0.5883114
UtahNoC, 41.8311633333333, 98.619974, 54.0513926666667, 37.52301, 29.123992, 133.1303236, 19.9270018, 11.6943642
